id,bus_code,direction,name,deviation_seconds,updated_at,scheduled_timestamp,our_snapshot_time
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T18:58:18
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T18:58:18
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T18:58:18
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T16:56:24Z,2026-05-20T22:30:00Z,2026-05-20T18:58:18
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T17:10:50Z,2026-05-20T19:25:00Z,2026-05-20T19:08:19
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T19:08:19
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T19:08:19
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T19:08:19
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T19:08:19
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T17:06:46Z,2026-05-20T22:30:00Z,2026-05-20T19:08:19
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T19:08:19
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T17:21:25Z,2026-05-20T19:25:00Z,2026-05-20T19:18:19
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T19:18:19
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T19:18:19
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T19:18:19
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T19:18:19
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T17:17:26Z,2026-05-20T22:30:00Z,2026-05-20T19:18:19
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T19:18:19
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T17:31:24Z,2026-05-20T19:25:00Z,2026-05-20T19:28:19
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T19:28:19
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T19:28:19
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T19:28:19
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T19:28:19
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T17:17:26Z,2026-05-20T22:30:00Z,2026-05-20T19:28:19
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T19:28:19
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T17:31:24Z,2026-05-20T19:25:00Z,2026-05-20T19:38:20
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T19:38:20
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T19:38:20
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T19:38:20
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T19:38:20
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,44.0,2026-05-20T17:37:10Z,2026-05-20T22:30:00Z,2026-05-20T19:38:20
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T19:38:20
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T17:42:54Z,2026-05-20T19:25:00Z,2026-05-20T19:48:20
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T19:48:20
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T19:48:20
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T19:48:20
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T19:48:20
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,44.0,2026-05-20T17:37:10Z,2026-05-20T22:30:00Z,2026-05-20T19:48:20
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T19:48:20
